Study ID,Journal ID,Volume #,Issue #,Year,Title,Author #1,Design,text ,NW,CC,ADVCL,DOBJ,SCONJ,IC,Binary_design
121,LDQ,44,2,2021,Effects of Schematic Chunking on Enhancing Geometry Performance in Students With Math Difficulties and Students at Risk of Math Failure,Dake Chang,EXP,"Schematic chunks denote patterns, schemes, or sophisticated rules and knowledge stored in the long-term memory in the form of chunks. We investigated whether schematic chunking is effective in improving the performance of students with math difficulties (MD) and students at risk of math failure, and how the complexity level of geometry problems and studentsÕ content knowledge moderate the effects of a visual chunking accommodation. A 3 (problem difficulty level) _ 2 (plain version/chunking version) _2 (cheat sheet provided/not provided) mixed design was used. Thirty-three students, including 18 with MD and 15 at risk, were randomly assigned to two groups: A Òcheat sheetÓ of related theorems was provided to one group but not the other. Students in both groups received two versions of a geometry test: (a) a test with a plain figure representation, and (b) a parallel test with coloring and marks that highlighted the elements of a schematic chunk. Results found a main effect of chunking for all participants, and the chunking effect was greater for difficult one-step and multi-step problems than for simple one-step problems. Providing a cheat sheet increased the chunking effects for solving only the difficult one-step problems pertaining to low-frequency theorems for students with MD.",208,0.0,0.0,43.26923076923077,9.615384615384617,0.0,1
122,LDQ,44,2,2021,Comparison of Literacy Screener Risk Selection Between English Proficient Students and English Learners,Kelli D. Cummings,Non-EXP,"Universal screening is a critical component of school-based prevention systems. Screening data enable educators to target students for supplemental intervention, align resources to meet needs, and identify students who may be at risk for learning disabilities. One major requirement of the screening process is that all students are included to gain an accurate picture of school performance. It is therefore surprising that few evaluations of screening systems have focused on English language measures and their use with English learners. In this article, we aim to evaluate common screening thresholds, 54 across Grades kÐ3, to determine the extent to which they may differ between English learners and English proficient students. Results indicate that many thresholds are consistent between groups with some exceptions in kindergarten. We discuss implications for screening assessment and decision making but suggest that similar cut scores across groups do not imply similar intervention strategies.",147,0.0,0.0,68.02721088435375,27.210884353741495,6.802721088435374,0
123,LDQ,44,2,2021,The Deficit Profile of Elementary Students With Computational Difficulties Versus Word Problem-Solving Difficulties,Xin Lin,Non-EXP,"The purpose of the study was to compare the deficit profiles of two important types of mathematics difficulties. Three cognitive measures (working memory, processing speed, and reasoning), two mathematics measures (numerical facts retrieval and mathematics vocabulary), and reading comprehension were assessed among 237 Chinese fourth-grade students, among whom 28 were classified as students with only computational difficulties (CD), 34 were classified as having only word problem-solving difficulties (WPD), 20 were classified as students with computational and word problem-solving difficulties (CD + WPD), and 43 typically developing (TD) peers. Multivariate analysis showed that, compared with TD, CD was associated with weakness in numerical working memory; WPD was associated with weakness in reading comprehension; both CD and WPD were associated with weakness in mathematics vocabulary. However, CD and WPD did not differ from each other on any of those profiling measures. Implications for understanding mathematics competence and identification of mathematics difficulties are discussed.",154,0.0,0.0,32.467532467532465,6.493506493506494,0.0,0
124,LDQ,44,3,2021,The Effect of Facilitative Versus Inhibitory Word Training Corpora on Word Reading Accuracy Growth in Children With Dyslexia,Laura M. Steacy,Non-EXP,"We modeled word reading growth in typically developing (nÊ= 118) and children with dyslexia (nÊ= 20), Grades 2Ð5, across multiple exposures to 30 words. We explored the facilitative versus inhibitory effects of exposures to differential mixes of words that support high- versus low-frequency vowel pronunciations. One training corpus contained a ratio of 80%Ð20% high- to low-frequency pronunciations (e.g., forÊea; 80%ÊeaÊpronounced as /i/ as inÊbeadÊand 20%ÊeaÊpronounced /_/ as inÊdead), whereas the other consisted of a ratio of 20%Ð80%. We also modeled accuracy at the final exposure for a subset of 12 shared words across conditions using item-level crossed-random effects models with reading skill (i.e., typically developing vs. dyslexic), condition, word frequency, and vowel pronunciation (i.e., high- vs. low-frequency vowel pronunciation) as predictors in the model. We were particularly interested in the interaction between condition and vowel pronunciation across reading groups. Results suggest typically developing children were influenced by the interaction between condition and vowel pronunciation, suggesting both facilitation and inhibition, whereas children with dyslexia were influenced by condition and vowel pronunciation without an interaction. Results are interpreted within the overfitting model of dyslexia.",186,0.0,0.0,48.387096774193544,16.129032258064516,5.376344086021506,0
125,LDQ,44,3,2021,"Designing an Intervention in Reading and Self-Regulation for Students With Significant Reading Difficulties, Including Dyslexia",Carolyn A. Denton,EXP,"The purpose of this feasibility study was to inform the development of an intervention to support reading and self-regulation for students with significant reading difficulties and disabilities (RDs), including dyslexia. Participants were 21 special educators, dyslexia specialists, and reading interventionists and 48 students in Grades 2 to 4. Student outcomes were compared using a quasi-experimental design; some teachers provided the research intervention (Idea Detectives [ID] group), whereas others provided the reading interventions typically offered in their schools (business-as-usual [BAU] group). Nearly 90% of BAU students received alternate evidence-based interventions. Results showed that student outcomes did not differ between the ID and BAU groups. Observational data indicated that revisions were needed to improve the interventionÕs feasibility, and qualitative teacher data identified barriers to consistent implementation, as well as strengths and shortcomings of the intervention. Teacher data suggested strong support for the inclusion of self-regulation instruction with reading intervention. This study illustrates the importance of teacherÐresearcher collaborations for the development of instructional interventions.",169,0.0,0.0,71.00591715976331,17.75147928994083,5.9171597633136095,1
126,LDQ,44,3,2021,Examining the Reading and Cognitive Profiles of Students With Significant Reading Comprehension Difficulties,Philip Capin,Non-EXP,"This study investigated the word reading and listening comprehension difficulties of fourth-grade students with significant reading comprehension deficits and the cognitive difficulties that underlie these weaknesses. Latent profile analysis was used to classify a sample of fourth-grade students (nÊ= 446) who scored below the 16th percentile on a measure of reading comprehension into subgroups based on their performance in word reading (WR) and listening comprehension (LC). Three latent profiles emerged: (a) moderate deficits in both WR and LC of similar severity (91%), (b) severe deficit in WR paired with moderate LC deficit (5%), and (c) severe deficit in LC with moderate WR difficulties (4%). Analyses examining the associations between cognitive attributes and group membership indicated students with lower performance on cognitive predictors were more likely to be in a severe subgroup. Implications for educators targeting improved reading performance for upper elementary students with significant reading difficulties were discussed.",150,0.0,0.0,46.66666666666667,0.0,0.0,0
127,LDQ,44,3,2021,Subgrouping of Korean Readers Based on Reading Achievement and the Relation of Cognitive-Linguistic Variables to the Subgroups,Ae-Hwa Kim,Non-EXP,"The purpose of this study was to classify Korean readers into subgroups based on their reading achievement and to examine the relationships between these subgroups and a set of cognitive-linguistic variables. The reading achievement and cognitive-linguistic skills of 394 elementary school students were measured and the data were analyzed by disaggregating into primary grade level (i.e., Grades 1Ð3) and intermediate grade level (i.e., Grades 4Ð6). The main results are summarized as follows. First, three subgroups of readers were found based on the reading achievement for the primary grade level: Òvery poor word readers and poor comprehenders,Ó Òpoor readers,Ó and Òaverage readers.Ó Second, four subgroups of readers were found based on the reading achievement for the intermediate grade level: Òvery significantly poor readers,Ó Òvery poor readers,Ó Òaverage word readers but poor comprehenders,Ó and Òaverage readers.Ó Third, vocabulary, rapid naming, phonological memory, and phonological awareness were cognitive-linguistic variables that significantly differentiated Òvery poor readersÓ and Òpoor readersÓ from Òaverage readersÓ for the primary grade level. Fourth, phonological memory, rapid naming, sentence repetition, and listening comprehension were cognitive-linguistic variables that significantly differentiated Òvery poor readersÓ and Òpoor readersÓ from Òaverage readersÓ for the intermediate grade level. This article also discusses the limits of this research and the implications in practice. Finally, this article touches upon the direction of future studies.",226,0.0,0.0,39.823008849557525,8.849557522123893,4.424778761061947,0
128,LDQ,44,4,2021,A College Entrance Essay Exam Intervention for Students With High-Incidence Disabilities and Struggling Writers,Amber B. Ray,EXP,"High school students with high-incidence disabilities and struggling writers face considerable challenges when taking writing assessments designed for college entrance. This study examined the effectiveness of a writing intervention for improving studentsÕ performance on a college entrance exam, the writing assessment for the ACT. Students were taught a planning and composing strategy for successfully taking this test using the self-regulated strategy development (SRSD) model. A true-experiment was conducted where 20 high school students were randomly assigned to a treatment (nÊ= 10) or control (nÊ= 10) condition. Control students received ACT math preparation. SRSD instruction statistically enhanced studentsÕ planning, the quality of their written text (including ideas and analysis, development and support, organization, and language use), the inclusion of argumentative elements in their compositions, and the use of transition words in written text. Limitations of the study, future research, and implications for practice are discussed.",147,0.0,0.0,61.224489795918366,13.605442176870747,0.0,1
129,LDQ,44,4,2021,Psychiatric Problems in Adolescence Mediate the Association Between Childhood Learning Disabilities and Later Well-Being,Anna-Kaija Eloranta,Non-EXP,"This follow-up study investigated the associations of childhood learning disabilities (LDs) with adult-age anxiety, depression, and unemployment. Psychosocial problems in childhood and psychiatric diagnoses and lack of education in adolescence were studied as potential mediators, and gender and motherÕs education were studied as potential moderators of these associations. Data on childhood clinical neuropsychological assessments and lifelong register data on individuals with childhood LD (nÊ= 430; 301 [70%] males; 20Ð39 years of age) and matched controls (nÊ= 2,149) were applied. Mediation analyses were performed using structural equation modeling. Childhood LDs exerted a significant, but relatively small effect on psychiatric diagnoses in adolescence, which predicted adult-age depression and anxiety. Learning disabilities were related to unemployment both directly and via psychiatric diagnoses in adolescence. Examination of differences in the effects on adult-age outcomes of subtypes of LDs revealed mathematical disability to be more strongly associated with psychosocial problems in childhood and psychiatric problems in adolescence and adulthood than reading disability. Our findings show that LD has small and mostly indirect effects on the risk for later well-being problems. The findings emphasize the importance of adolescence in predicting adult-age psychiatric and employment problems and call for more holistic support for individuals with LDs.",205,0.0,0.0,39.02439024390244,4.878048780487805,4.878048780487805,0
130,LDQ,43,3,2020,Effects of an Intensive Reading Intervention for Ninth-Grade English Learners With Learning Disabilities,Kelly J. Williams,EXP,"English learners with learning disabilities (LD) have well-documented difficulties comprehending text. This study examined the effects of an intensive reading intervention (Reading Intervention for Adolescents [RIA]) on reading outcomes (word reading, vocabulary, and comprehension) for ninth-grade ELs with LD (nÊ= 85). In the RIA, students received instruction in advanced word study, fluency, vocabulary, and comprehension. Participants assigned to RIA received the intervention for the entire ninth-grade school year for approximately 3.75 to 4.25 hr a week, whereas students in the comparison condition participated in elective courses. After using analysis of covariance to test for treatment effects and controlling for false discovery rate, there were no significant differences between the two groups except on the proximal vocabulary measure (gÊ= 0.41). Small, nonsignificant effects were observed on measures of word reading and sentence-level comprehension, and HedgesÕÊgÊvalues ranged from 0.08 to 0.18. Findings reveal the challenges of improving reading outcomes for English learners with learning disabilities in high school.",160,0.0,0.0,81.25,12.5,0.0,1
131,LDQ,43,3,2020,"The Relationships Among Temporal Processing, Rapid Naming, and Oral Reading Fluency in Chinese Children With and Without Dyslexia",Li-Chih Wang,Non-EXP,"The relationships among visual and auditory temporal processing, rapid naming, and oral reading fluency in Chinese children with and without dyslexia were examined. Primary school-aged Chinese children with dyslexia (NÊ= 47) and chronological-age-matched controls (NÊ= 47) were recruited. Temporal processing, rapid naming, oral reading fluency, Chinese character reading, and nonverbal IQ were assessed. There were significant correlations among visual and auditory temporal processing, rapid naming, and oral reading fluency. The patterns of the relationships among these measures differed between the children with and without dyslexia. The path analyses revealed that visual temporal processing had significant direct and indirect effects (through rapid naming) on oral reading fluency; only the children with dyslexia showed a significant direct effect of auditory temporal processing. These findings have research and educational implications for enhancing the reading abilities of Chinese children with dyslexia.",140,0.0,0.0,28.57142857142857,7.142857142857142,0.0,0
132,LDQ,43,4,2020,Differential Effects of the Targeted Reading Intervention for Students With Low Phonological Awareness and/or Vocabulary,Mary Bratsch - Hines,EXP,"Students most at risk for reading-related disabilities frequently struggle with word recognition and oral language, including, in the earliest grades, specific skills related to phonological awareness and vocabulary. Classroom teachersÕ delivery of high-quality differentiated supplemental instruction may promote reading acquisition for these students. The current study examined whether the Targeted Reading Intervention, a webcam-coaching literacy professional development program for kindergarten and first grade classroom teachers, was more effective in producing reading gains for students who had the lowest scores on fall measures of phonological awareness and/or vocabulary as compared with students with higher scores. Findings revealed that students who participated in the Targeted Reading Intervention and who scored lowest on the fall vocabulary measure had the highest scores on spring decoding measures.",125,0.0,0.0,32.0,24.0,0.0,1
133,LDQ,43,4,2020,The Roles of Various Forms of Attention in Temporal Processing Deficits in Chinese Children With and Without Dyslexia,Li-Chih Wang,Non-EXP,"This study examined the extent to which Chinese children with dyslexia show temporal processing deficits in addition to deficits in various forms of attention. In total, 104 Chinese children in primary school (Grades 3Ð6) were recruited in Taiwan. Half of the children were identified as having dyslexia, and the other half were typically developing children who were matched by gender, IQ, and age with the children with dyslexia. Our results indicated that Chinese children with dyslexia performed significantly worse on tasks of temporal processing, selective attention, and switching attention. Furthermore, both visual and auditory temporal processing, in addition to various attention types, could be significant distinguishing predictors between the two groups. Moreover, we found that visual temporal processing, but not auditory temporal processing, significantly contributed to Chinese character reading. This study was among the first to confirm the unique role of visual temporal processing in Chinese character reading.",148,0.0,0.0,33.78378378378378,13.513513513513514,0.0,0
134,JLD,52,1,2019,Specific Language Impairment and Reading Disability: Categorical Distinction or Continuum?,George C. Spanoudis,Non-EXP,"Specific language impairment (SLI) and reading disability (RD) are familial, moderately heritable comorbid developmental disorders. The key deficit of SLI is oral language, whereas children with RD exhibit impairment in learning to read. The present study examines the possible co-occurrence of RD and SLI and the nature of this co-occurrence at a linguistic and a cognitive level in an orthographically consistent language. Four groups of children participated in the study: an RD group (nÊ= 10), an SLI group (nÊ= 13), a possible comorbid group (nÊ= 9), and a controlÐno deficit group (nÊ= 20). Analysis showed that all three clinical groups in our sample performed similarly in phonological awareness and naming-speed tasks. However, significant group differences were observed in orthographic processing, reading, semantics, and phonological memory measures, thus supporting the view that SLI and RD are distinct disorders. Results are in line with previous findings indicating that SLI and RD share common characteristics, although the two conditions are manifested with different symptoms.",164,6.097560975609756,6.097560975609756,36.58536585365854,30.48780487804878,6.097560975609756,0
135,JLD,52,1,2019,"A Cognitive Dimensional Approach to Understanding Shared and Unique Contributions to Reading, Math, and Attention Skills",Amanda E. Child,Non-EXP,"Disorders of reading, math, and attention frequently co-occur in children. However, it is not yet clear which cognitive factors contribute to comorbidities among multiple disorders and which uniquely relate to one, especially because they have rarely been studied as a triad. Thus, the present study considers how reading, math, and attention relate to phonological awareness, numerosity, working memory, and processing speed, all implicated as either unique or shared correlates of these disorders. In response to findings that the attributes of all three disorders exist on a continuum rather than representing qualitatively different groups, this study employed a dimensional approach. Furthermore, we used both timed and untimed academic variables in addition to attention and activity level variables. The results supported the role of working memory and phonological awareness in the overlap among reading, math, and attention, with a limited role of processing speed. Numerosity was related to the comorbidity between math and attention. The results from timed variables and activity level were similar to those from untimed and attention variables, although activity level was less strongly related to cognitive and academic/attention variables. These findings have implications for understanding cognitive deficits that contribute to comorbid reading disability, math disability, and/or attention-deficit/hyperactivity disorder.",204,9.803921568627452,9.803921568627452,39.21568627450981,19.607843137254903,9.803921568627452,0
136,JLD,52,1,2019,Efficacy of a Word- and Text-Based Intervention for Students With Significant Reading Difficulties,Sharon Vaughn,EXP,"We examine the efficacy of an intervention to improve word reading and reading comprehension in fourth- and fifth-grade students with significant reading problems. Using a randomized control trial design, we compare the fourth- and fifth-grade reading outcomes of students with severe reading difficulties who were provided a researcher-developed treatment with reading outcomes of students in a business-as-usual (BAU) comparison condition. A total of 280 fourth- and fifth-grade students were randomly assigned within school in a 1:1 ratio to either the BAU comparison condition (nÊ= 139) or the treatment condition (nÊ= 141). Treatment students were provided small-group tutoring for 30 to 45 minutes for an average of 68 lessons (mean hours of instruction = 44.4,ÊSDÊ= 11.2). Treatment students performed statistically significantly higher than BAU students on a word reading measure (effect size [ES] = 0. 58) and a measure of reading fluency (ES = 0.46). Though not statistically significant, effect sizes for students in the treatment condition were consistently higher than BAU students for decoding measures (ES = 0.06, 0.08), and mixed for comprehension (ES = -0.02, 0.14).",184,5.434782608695652,0.0,54.34782608695652,5.434782608695652,0.0,1
137,JLD,52,1,2019,Replication of an Experimental Study Investigating the Efficacy of a Multisyllabic Word Reading Intervention With and Without Motivational Beliefs Training for Struggling Readers,Jessica R. Toste,EXP,"This randomized control trial examined the efficacy of an intervention aimed at improving multisyllabic word reading (MWR) skills among fourth- and fifth-grade struggling readers (nÊ= 109, 48.6% male), as well as the relative effects of an embedded motivational beliefs training component. This study was a closely aligned replication of our earlier work. The intervention was replicated with a three-condition design: MWR only, MWR with a motivational beliefs component, and business-as-usual control. Students were tutored in small groups for 40 lessons (four 40-min lessons each week). When we combined performance of students in both MWR conditions, intervention students significantly outperformed controls on proximal measures of affix reading and MWR, as well as standardized measures of decoding, spelling, and text comprehension. Furthermore, there was a noted interaction between English learner status and treatment on spelling performance. There were no statistically significant main effects between the MWR groups on proximal or standardized measures of interest. Findings are discussed in terms of their relevance to MWR instruction for students with persistent reading difficulties and considerations for future research related to the malleability of motivation.",185,0.0,0.0,27.027027027027028,5.405405405405405,0.0,1
138,JLD,52,2,2019,A Cross-Modal Working Memory Binding Span Deficit in Reading Disability,Enrico Toffalini,Non-EXP,"Successful reading demands the ability to combine visual-phonological information into a single representation and is associated with an efficient short-term memory. Reading disability may consequently involve an impaired working memory binding of visual and phonological information. The present study proposes two span tasks for assessing visual-phonological working memory binding. The tasks involved memorizing cross-modal associations between nonsense figures and nonwords, and they were administered, with other working memory measures, to children with and without a reading disability. The tasks required recognizing which figure was associated with a given nonword and recalling which nonword was associated with a given figure. Children with a reading disability had a similar significant deficit in both cross-modal binding tasks when compared with the control children, and the difference remained significant even after controlling for other verbal and nonverbal working memory measures. The cross-modal binding tasks described here seem to capture a core aspect of working memory associated with reading and may be a useful procedure for assessing reading disabilities.",170,0.0,0.0,58.8235294117647,5.88235294117647,0.0,0
139,JLD,52,2,2019,Class Percentage of Students With Reading Difficulties on Content Knowledge and Comprehension,Sharon Vaughn,EXP,"We examined the efficacy of a content acquisition and reading comprehension intervention implemented in eighth-grade social studies classrooms. Using a within-teacher randomized control design, 18 eighth-grade teachersÕ social studies classes were randomly assigned to a treatment or comparison condition. Teachers taught all their classes (treatment and comparison) using the same content; however, in the treatment classes, teachers used instructional practices that included comprehension canopy, essential words, knowledge acquisition, and team-based learning. Students with reading comprehension difficulties in the treatment classes (n_= 359) outperformed students with reading comprehension difficulties in the comparison classes (n_= 331) on measures of content knowledge acquisition and content reading comprehension but not general reading comprehension. In addition, the proportion of students with reading comprehension difficulties in classes moderated outcomes for content knowledge acquisition and content reading comprehension.",135,0.0,0.0,81.4814814814815,0.0,0.0,1
140,JLD,52,2,2019,Genetic and Environmental Influences on Achievement Outcomes Based on Family History of Learning Disabilities Status,Florina Erbeli,Non-EXP,"A risk to develop a learning disability has been shown to run in families. Having a positive family history of learning disability seems to account for mean differences in achievement outcomes (reading, math) in that children with a positive family history score significantly lower compared to their peers with no such family history. However, the role of family history status in explaining etiological (genetic and environmental) differences among these subgroups of children has yet to be established. The present study of 872 twins (MageÊ= 13.30,ÊSDageÊ= 1.40) from the Florida Twin Project on Reading, Behavior, and Environment utilized a multigroup approach to examine etiological differences on reading, spelling, and math among two subgroups defined by family history status. Results showed significant mean differences on all achievement outcomes, aside from math; however, no significant etiological differences on any achievement outcome were found among the two subgroups. Results support previous literature that the risk for developing a learning disability is transmitted through a family, but this is seemingly not manifested by differential etiology.",170,0.0,0.0,52.94117647058823,5.88235294117647,5.88235294117647,0
141,JLD,52,2,2019,Examining the Impact of Group Size on the Treatment Intensity of a Tier 2 Mathematics Intervention Within a Systematic Framework of Replication,Christian T. Doabler,EXP,"Group size and treatment intensity are understudied topics in mathematics intervention research. This study examined whether the treatment intensity and overall intervention effects of an empirically validated Tier 2 mathematics intervention varied between intervention groups with 2:1 and 5:1 student-teacher ratios. Student practice opportunities and the quality of explicit instruction served as treatment intensity metrics. A total of 465 kindergarten students with mathematics difficulties from 136 intervention groups participated. Results suggested comparable performances between the 2:1 and 5:1 intervention groups on six outcome measures. Observation data indicated that student practice differed by group size. Students in the 5:1 groups received more opportunities to practice with their peers, while students in the 2:1 groups participated in more frequent and higher quality individualized practice opportunities. Implications in terms of delivering Tier 2 interventions in small-group formats and engaging at-risk learners in meaningful practice opportunities are discussed.",147,0.0,0.0,47.61904761904761,20.408163265306122,0.0,1
142,JLD,52,3,2019,Stability of Risk Status During Preschool,Trelani F. Milburn,Non-EXP,"The current study investigated the stability of childrenÕs risk status across the preschool year. A total of 1,102 preschool children attending Title 1 schools (nÊ= 631) and non-Title 1 schools (nÊ= 471) participated in this study. Using averaged standard scores for two measures of language, print knowledge, and phonological awareness administered at the beginning of preschool (Time 1) and midyear (Time 2), children were classified as at-risk or not at each time point. Prevalence rates were determined for four categories of risk status: (1) always at risk, (2) only at risk at Time 1, (3) never at risk, and (4) only at risk at Time 2. Univariate and multivariate analyses indicated that the best predictor of childrenÕs risk status was their level of skill in the respective literacy domain at the beginning of preschool. These results suggest that children with stable risk can be identified early and may benefit from the early provision of extra instructional support within a response-to-instruction framework.",165,0.0,0.0,18.18181818181818,12.121212121212121,0.0,0
143,JLD,52,3,2019,Examining Reading Comprehension Profiles of Grade 5 Monolinguals and English Language Learners Through the Lexical Quality Hypothesis Lens,Megan O' Connor,Non-EXP,"This study set out to compare patterns of relationships among phonological skills, orthographic skills, semantic knowledge, listening comprehension, and reading comprehension in English as a first language (EL1) and English language learners (ELL) students and to test the applicability of the lexical quality hypothesis framework. Participants included 94 EL1 and 178 ELL Grade 5 students from diverse home-language backgrounds. Latent profile analyses conducted separately for ELLs and EL1s provided support for the lexical quality hypothesis in both groups, with the emergence of two profiles: A poor comprehenders profile was associated with poor word-reading-related skills (phonological awareness and orthographic processing) and with poor language-related skills (semantic knowledge and, to a lesser extent, listening comprehension). The good comprehenders profile was associated with average or above-average performance across the component skills, demonstrating that good reading comprehension is the result of strong phonological and orthographic processing skills as well as strong semantic and listening comprehension skills. The good and poor comprehenders profiles were highly similar for ELL and EL1 groups. Conversely, poor comprehenders struggled with these same component skills. Implications for assessment and future research are discussed.",188,0.0,0.0,26.595744680851062,5.319148936170213,0.0,0
144,JLD,52,3,2019,Attitudes and Knowledge About Learning Disabilities: A Comparison Between Arabic- and Hebrew-Speaking University Students,Michal Shecter- Lerner,Non-EXP,"Recently, there has been a significant increase in the number of students with specific learning disabilities (SLD) in postsecondary institutions. The current study investigated attitudes toward and knowledge about SLD among students from different cultural and educational backgrounds. The study included 113 students (63 Arabic speakers and 50 Hebrew speakers) working toward bachelorÕs degrees in different faculties and departments at a university in northern Israel. Findings indicated that both Arabic- and Hebrew-speaking students had some knowledge regarding SLD and agreed with positive statements about SLD. However, Arabic-speaking students reported having less contact with individuals with SLD than did Hebrew-speaking students. Additionally, Arabic-speaking students reported less knowledge regarding the competence of students with SLD and were more willing to support and provide assistance to these students. Both groups revealed insufficient understanding of the essence of SLD. Implications for research and practice are discussed.",146,0.0,0.0,61.64383561643835,13.698630136986301,6.8493150684931505,0
145,JLD,52,3,2019,Effectiveness of a Partial Read-Aloud Test Accommodation to Assess Reading Comprehension in Students With a Reading Disability,Michelle Giusto,EXP,"This experiment examined whether a partial read-aloud accommodation with pacing (PRAP) would improve the reading comprehension of poor decoders but not average decoders compared to standard testing procedures. Participants were 82 third graders with at least average listening comprehension skills: 28 were poor decoders, and 54 were average decoders; mean age 8 years, 9 months (8:9). In the PRAP condition, studentsÕ were paced through the Gates MacGinitie reading comprehension test. The examiner read aloud only directions, proper nouns, and questions with multiple choice answers while students read the passages independently. PRAP was compared to a standard testing condition and a pacing only condition. Poor decodersÕ reading comprehension was significantly higher under PRAP than under either the pacing or standard testing (pÊ< .01), whereas average decoders did not benefit from the PRAP procedure. Results support PRAP as a valid test accommodation procedure for readers who struggle with decoding but not listening comprehension. Results support the simple view of reading and show its value in the design of test accommodations for a specific type of reading disability.",177,0.0,0.0,45.19774011299435,16.949152542372882,11.299435028248588,1
146,JLD,52,3,2019,Examining Interactions Across Instructional Tiers: Do Features of Tier 1 Predict Student Responsiveness to Tier 2 Mathematics Intervention?,Marah Sutherland,EXP,"High-quality Tier 1 instruction is frequently conceptualized as the ÒfoundationÓ for other tiers of intervention within multitiered systems of support (MTSS) models. However, the vast majority of Tier 2 intervention studies do not account for Tier 1 variables when examining intervention effectiveness. The purpose of this study was to examine Tier 1 predictors, or Òquality indicators,Ó of differential responsiveness to Tier 2 mathematics intervention. Data were drawn from a large-scale data set where all teachers taught the Early Learning in Mathematics (Tier 1) core program across the academic year, and a subset of students were selected for the ROOTS (Tier 2) mathematics intervention. We examined the following Tier 1 variables: (a) classroom-level mathematics gains, (b) Tier 1 fidelity of implementation, (c) Tier 1 classroom management and instructional support, and (d) class size. Response to Tier 2 intervention was not significantly predicted by any of the Tier 1 variables examined; however, the pattern of HedgesÕÊgÊeffect sizes suggested that students with higher quality of Tier 1 instruction tended to benefit less from the Tier 2 ROOTS intervention. Results are discussed in the context of implications for research and practice.",191,0.0,0.0,31.413612565445025,15.706806282722512,5.235602094240838,1
147,JLD,52,4,2019,Bidirectional Cross-Linguistic Association of Phonological Skills and Reading Comprehension: Evidence From Hong Kong Chinese-English Bilingual Readers,Qinli Deng,Non-EXP,"This study examined the roles of first-language (L1) Chinese and second-language (L2) English phonological skills in English and Chinese reading comprehension, respectively, and their association with reading comprehension difficulties among Hong Kong Chinese-English bilingual children. We tested 258 second graders on nonverbal intelligence, working memory, phonological skills, word reading, and reading comprehension, in both Chinese and English. Structural equation modeling analyses revealed that Chinese phonological skills contributed to English reading comprehension both directly and indirectly, through the mediation of English phonological skills and English word reading. In contrast, English phonological skills contributed only indirectly to Chinese reading comprehension through L1 Chinese phonological and word reading skills. Furthermore, poor Chinese readers, poor English readers, and poor readers in both Chinese and English exhibited lower levels of lexical tone awareness than average readers, even after controlling for nonverbal intelligence, word reading, and working memory. Poor Chinese readers outperformed poor English readers and poor readers in both Chinese and English on Chinese segmental phonological awareness, and their performance was comparable to average readers. These findings suggest that both suprasegmental and segmental phonological skills are critical to the development of reading comprehension across L1 Chinese and L2 English in Hong Kong Chinese-English bilingual children.",204,0.0,0.0,44.11764705882353,9.803921568627452,0.0,0
148,JLD,52,4,2019,Conditional Longitudinal Relations of Elementary Literacy Skills to High School Reading Comprehension,Yaacov Petscher,Non-EXP,"The present study explores the longitudinal development between Grade 3 word level reading skills and higher level semantic skills to Grade 10 reading comprehension for 3,157 students. In particular, this work focused on how the developmental relations varied for subsamples of students who are English learners (EL;ÊNÊ= 308), students identified as specific learning disability (SLD;ÊNÊ= 133), and general education (Gen Ed;ÊNÊ= 2,716) students who have no formal classification or diagnoses. Multiple group structural equation modeling showed that the relation between Grade 3 vocabulary and Grade 10 reading comprehension did not vary across three student subgroups when accounting for Grade 3 fluency and that when controlling for studentsÕ vocabulary, the unique effect of oral reading fluency ranged from a standardized effect of _ = .22 to _ = .39 across the three subgroups. Quantile regression using estimated factor scores revealed heterogeneous relations of component skills to reading comprehension across each subgroup.",148,0.0,0.0,47.2972972972973,33.78378378378378,0.0,0
149,JLD,52,4,2019,Embedding Self-Regulation Instruction Within Fractions Intervention for Third Graders With Mathematics Difficulties,Amber Y. Wang,EXP,"The purpose of this study was to explore the efficacy of fractions intervention with and without an embedded self-regulation (SR) component for third-grade students at risk for mathematics disabilities. Fractions intervention focused on magnitude understanding and word problems. Embedded SR was designed to support a growth mindset (fostering belief that intellectual and academic abilities can be developed) along with SR processes in which students set goals, self-monitor, and use strategies to engage motivationally, metacognitively, and behaviorally through challenging tasks. Students (nÊ= 69) were randomly assigned to business-as-usual control and the two versions of fractions intervention. Multilevel models, accounting for the nested structure of the data, identified a moderation effect on fraction word problems: For students receiving fractions intervention with embedded SR, response to intervention was robust across the continuum of studentsÕ pretest word problem skill; by contrast, without SR, response to fractions intervention depended on studentsÕ pretest word problem skill. On the remaining outcomes, results reflected stronger outcomes when fractions intervention embedded SR instruction without moderation.",171,0.0,0.0,58.47953216374269,11.695906432748536,5.847953216374268,1
